系统编码,物料名称,规格,参数1,参数2,参数3,单位名称,1-3个月,3-6个月,6-12个月,12个月以上,单价
122-219,硅钢片,JIS 35A250 0.35*50*270mm 3-Φ12,0.35,50,270,kg,15,0,0,0,7.522124
122-246,硅钢片,35DW250 150*50*0.35mm,150,50,0.35,kg,0,0,0,5,7.844828
122-247,硅钢片,35DW250 0.35*150*50 2-Φ10,0.35,150,50,kg,0,0,0,9,7.844828
122-248,硅钢片,JIS 35A250 0.35*60*185  2-Φ11,0.35,60,185,kg,0,0,0,7,7.179487
122-253,硅钢片,JIS 35A250 0.35*60*210 2-Φ12,0.35,60,210,kg,0,0,7,0,7.844828
122-257,硅钢片,JIS 35A250 0.35*60*44.5,0.35,60,44.5,kg,6,0,0,0,7.256637
122-258,硅钢片,JIS 35A250 0.35*320*60 3-Φ11,0.35,320,60,kg,0,0,0,15.5,7.844828
122-260,硅钢片,JIS 35A250 0.35*242*50 1-Φ12,0.35,242,50,kg,5,0,0,0,7.433628
122-272,硅钢片,JIS 35A250 0.35*60*48,0.35,60,48,kg,0,0,5,0,7.478632
122-274,硅钢片,JIS 35A250 0.35*60*45,0.35,60,45,kg,8,0,0,0,7.522124
122-284,硅钢片,JIS 35A250 0.35*70*310 1-Φ14,0.35,70,310,kg,0,0,0,7,6.837607
122-291,硅钢片,JIS 35A250 0.35*80*180 1-Φ16,0.35,80,180,kg,0,0,0,120,8.376068
122-303,硅钢片,JIS 35A250 0.35*80*525 1-Φ16孔到边距40mm,0.35,80,525,kg,0,0,0,5.5,6.666667
122-314,硅钢片,JIS 35A250 0.35*95*50 Φ12,0.35,95,50,kg,5,0,0,0,7.522124
122-348,硅钢片,JIS 35A250 0.35*80*370 3-Φ14,0.35,80,370,kg,0,0,0,997,6.837607
122-372,硅钢片,JIS 35A250 0.35*41*60,0.35,41,60,kg,18,0,0,0,7.433628
122-377,硅钢片,JIS35A250    0.35*60*200,0.35,60,200,kg,0,0,4,0,6.982759
122-384,硅钢片,JIS 35A250 0.35*90*45,0.35,90,45,kg,0,0,0,5,7.844828
122-395,硅钢片,JIS 35A250 0.35*90*60 Φ12,0.35,90,60,kg,0,0,0,6,7.264957
122-396,硅钢片,JIS 35A250 0.35*350*60 Φ12,0.35,350,60,kg,0,0,0,5.5,7.264957
122-419,硅钢片,JIS 35A250 0.35*60*36mm,0.35,60,36,kg,76,0,0,0,7.256637
122-420,硅钢片,JIS 35A250 0.35*60*300mm 2-Ф11,0.35,60,300,kg,84,0,0,0,7.256637
122-421,硅钢片,35JNE250   0.35*45*100mm,0.35,45,100,kg,0,0,0,10,7.606838
122-422,硅钢片,35JNE250   0.35*100*430mm  2-Ф11,0.35,100,430,kg,0,0,12,0,7.844828
122-431,硅钢片,35JNE250 0.35*50*270mm 3-Ф9,0.35,50,270,kg,0,0,0,115,8.119658
122-449,硅钢片,35JNE250 0.35*80*470mm 3-Ф15,0.35,80,470,kg,0,0,0,9.5,7.844828
122-454,硅钢片,35JEN250 0.35*80*420mm 3-Ф14,0.35,80,420,kg,90,0,0,0,7.256637
122-465,硅钢片,35JNE250  0.35*80*33mm,0.35,80,33,kg,3,0,0,0,7.522124
122-466,硅钢片,35JNE250 0.35*135*40mm 2-φ10,0.35,135,40,kg,0,0,0,25,7.692308
122-467,硅钢片,35JNE250  0.35*160*40mm,0.35,160,40,kg,0,0,0,30,7.692308
122-471,硅钢片,B35P250 0.35*300*60mm   3-Ф12,0.35,300,60,kg,0,0,0,6,8.119658
122-481,硅钢片,JIS 35A250 0.35*230*50mm,0.35,230,50,kg,0,0,3,0,7.433628
122-482,硅钢片,JIS 35A250 0.35*50*48mm,0.35,50,48,kg,0,0,7,0,7.433628
122-485,硅鋼片,JIS 35A2500.35*80*43mm,0.35,80,43,kg,0,0,6,0,7.433628
122-510,硅钢片,JIS35A2500.35*70*400mm,0.35,70,400,kg,29,0,0,0,7.522124
122-511,硅钢片,JIS35A2500.35*70*45mm,0.35,70,45,kg,76,0,0,0,7.522124
122-516,硅钢片,JIS35A250 0.35*70*410mm,0.35,70,410,kg,0,0,0,210,7.844828
122-542,硅钢片,JIS35A250 0.35*75*375mm,0.35,75,375,kg,0,0,9,0,7.433628
122-558,硅钢片,JIS 35A250 0.35*90*50mm,0.35,90,50,kg,11,0,0,0,7.522124
122-559,硅钢片,JIS 35A250 0.35*360*50mm,0.35,360,50,kg,13.5,0,0,0,7.522124
122-561,硅钢片,JIS 35A250 0.35*265*120mm,0.35,265,120,kg,0,0,0,99,7.844828
122-562,硅钢片,JIS 35A250 0.35*600*120mm,0.35,600,120,kg,0,0,0,334,7.844828
122-563,硅钢片,JIS 35A250 0.35*410*120mm,0.35,410,120,kg,0,0,0,77,7.844828
122-574,硅钢片,JIS 35A250  0.35*80*44.5mm,0.35,80,44.5,kg,0,0,0,1082,6.837607
122-610,硅钢片,JIS 35A250 0.35*80*32,0.35,80,32,kg,0,0,0,8.3,8.205128
122-617,硅钢片,JIS 35A250 0.35*60*330,0.35,60,330,kg,5,0,0,0,7.522124
122-666,硅钢片,JIS 35A250  0.35*100*470mm 3-Ф16,0.35,100,470,kg,0,0,0,59,8.205128
122-667,硅钢片,JIS 35A250  0.35*60*310mm,0.35,60,310,kg,21,0,0,0,7.256637
122-684,硅钢片,B35P250 0.35*50*140mm 1-Ф11,0.35,50,140,kg,5,0,0,0,7.522124
122-716,硅钢片,B35P250 0.35*45.5*50,0.35,45.5,50,kg,0,0,0,7,7.844828
122-717,硅钢片,B35P250 0.35*50*290mm 3-Ф12,0.35,50,290,kg,95,0,0,0,7.522124
122-724,硅钢片,B35P250 0.35*60*64mm,0.35,60,64,kg,0,0,0,9.5,8.119658
122-727,硅钢片,B35P250 0.35*50*280mm 3-Ф11,0.35,50,280,kg,8.5,0,0,0,7.522124
122-744,硅钢片,B35P250 0.35*50*175mm,0.35,50,175,kg,0,0,8,96,8.547009
122-761,硅钢片,B35P250 0.35*40*85mm 1-φ9,0.35,40,85,kg,9,0,0,0,7.522124
122-764,硅钢片,B35P250 0.35*60*370mm,0.35,60,370,kg,0,0,9,0,7.433628
122-768,硅钢片,B35P250  0.35*50*44.5mm,0.35,50,44.5,kg,7,0,0,0,7.256637
122-776,硅钢片,B35P250 0.35*50*36,0.35,50,36,kg,3,0,0,0,7.522124
122-778,硅钢片,B35P250 0.35*80*550mm3-φ16,0.35,80,550,kg,0,0,0,6,8.205128
122-782,硅钢片,B35P250 0.35*60*390mm,0.35,60,390,kg,4,0,0,0,7.433628
122-785,硅钢片,B35P250 0.35*80*460mm,0.35,80,460,kg,5,0,0,0,7.522124
122-786,硅钢片,B35P250 0.35*60*38.5mm,0.35,60,38.5,kg,3,0,0,0,7.522124
122-789,硅钢片,B35P250 0.35*60*360mm 3-Φ12,0.35,60,360,kg,5,0,0,0,7.522124
122-795,硅钢片,B35P250 0.35*29*80mm,0.35,29,80,kg,0,0,0,219,8.376068
122-796,硅钢片,B35P250 0.35*80*265mm  2-φ14,0.35,80,265,kg,12,0,15,0,7.241379
122-797,硅钢片,B35P250 0.35*80*275mm,0.35,80,275,kg,0,0,0,67,8.376068
122-833,硅钢片,B35P250 0.35*80*415mm,0.35,80,415,kg,37,0,0,0,7.522124
122-834,硅钢片,B35P250 0.35*50*31.5,0.35,50,31.5,kg,0,10,0,0,7.522124
122-845,硅钢片,B35P250 0.35*60*35mm,0.35,60,35,kg,228,5,0,0,7.256637
122-858,硅钢片,B35P250 0.35*90*320mm,0.35,90,320,kg,0,0,0,18,8.119658
122-859,硅钢片,B35P250 0.35*90*200mm,0.35,90,200,kg,0,0,0,9,8.119658
122-860,硅钢片,B35P250 0.35*90*145mm,0.35,90,145,kg,0,0,0,20,8.119658
122-862,硅钢片,B35P250 0.35*80*460mm,0.35,80,460,kg,0,0,5,0,7.241379
122-864,硅钢片,B35P250 0.35*70*45mm,0.35,70,45,kg,0,0,0,79.5,7.844828
122-872,硅钢片,B35P250 0.35*70*37mm,0.35,70,37,kg,10,0,0,0,7.522124
